Domain name,name,title,description,robots,viewport,canonical,ogLocale,ogSiteName,ogType,ogTitle,ogDescription,ogUrl,ogImage,ogImageAlt,Domain type,Agency,Organization name,City,State,score,count
foia.gov,Department Of Justice,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,"Department of Justice, Office of e-Government",Washington,DC,15.0,2
iprcenter.gov,Department Of Justice,1,1,1,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,U.S Immigration and Customs Enforcement,Washington,DC,38.0,5
ic3.gov,Department Of Justice,1,1,1,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Internet Crime Complaint Center,Fairmont,WV,31.0,4
getsmartaboutdrugs.gov,Department Of Justice,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,23.0,3
cybercrime.gov,Department Of Justice,1,0,0,1,1,0,0,1,1,0,0,0,0,Federal - Executive,Department of Justice,Criminal Division,Washington,DC,38.0,5
justthinktwice.gov,Department Of Justice,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,23.0,3
justice.gov,Department Of Justice,1,1,0,1,1,0,0,0,0,1,0,0,0,Federal - Executive,Department of Justice,Department of Justice,Washington,DC,38.0,5
learnatf.gov,Department Of Justice,1,0,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Washington,DC,8.0,1
firstfreedom.gov,Department Of Justice,1,0,0,1,1,0,0,1,1,0,1,1,0,Federal - Executive,Department of Justice,Department of Justice,Potomac,MD,54.0,7
elderjustice.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Justice,"Department of Justice, Civil Division",Washington,DC,54.0,7
juvenilecouncil.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,69.0,9
interpol.gov,Department Of Justice,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Justice,"U.S. Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",Potomac,MD,69.0,9
nicic.gov,Department Of Justice,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,"Department of Justice, National Institute of Corrections",Washington,DC,23.0,3
learndoj.gov,Department Of Justice,1,0,0,1,1,0,0,1,1,0,0,0,0,Federal - Executive,Department of Justice,Department of Justice,Washington,DC,38.0,5
lep.gov,Department Of Justice,1,1,1,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Civil Rights Division,Washington,DC,38.0,5
ncirc.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Institute for Intergovernmental Research,Tallahassee,FL,69.0,9
nicsezcheckfbi.gov,Department Of Justice,1,0,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,8.0,1
nationalgangcenter.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Institute for Intergovernmental Research,Tallahassee,FL,69.0,9
namus.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,69.0,9
ojp.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,69.0,9
ncjrs.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Department of Justice,Potomac,MD,69.0,9
nvtc.gov,Department Of Justice,1,1,1,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Justice,National Virtual Translation Center,Washington,DC,85.0,11
nij.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs ,Washington,DC,69.0,9
rcfl.gov,Department Of Justice,1,1,1,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Justice,RCFL,McLean,VA,85.0,11
nmvtis.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,69.0,9
ovcttac.gov,Department Of Justice,1,1,0,1,0,0,0,0,1,1,0,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,46.0,6
projectsafeneighborhoods.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Justice,Office of the Chief Information Officer,Washington,DC,54.0,7
ojjdp.gov,Department Of Justice,1,0,0,1,1,0,1,0,1,0,1,1,1,Federal - Executive,Department of Justice,Office of Justice Programs,Potomac,MD,62.0,8
ovc.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Potomac,DC,69.0,9
nsopw.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,69.0,9
projectsafechildhood.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Justice,Office of the Chief Information Officer,Washington,DC,54.0,7
servicemembers.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Justice,Civil Rights Division,Potomac,MD,54.0,7
psob.gov,Department Of Justice,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Office of Justice Programs,Potomac,MD,15.0,2
scra.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Justice,Department of Justice,Potomac,MD,54.0,7
migrantworker.gov,Department Of Labor,1,0,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Labor,Bureau of International Labor Affairs,Washington,DC,62.0,8
goodjobs.gov,Department Of Labor,1,0,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,62.0,8
doleta.gov,Department Of Labor,1,0,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,8.0,1
userra.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Justice,Civil Rights Division,Potomac,MD,54.0,7
tsc.gov,Department Of Justice,1,1,1,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Justice,Terrorist Screening Center,Washington,DC,85.0,11
smart.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,69.0,9
dol.gov,Department Of Labor,1,0,0,1,1,0,1,0,1,0,1,1,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,54.0,7
trabajadormigrante.gov,Department Of Labor,1,0,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Labor,Bureau of International Labor Affairs,Washington,DC,62.0,8
usdoj.gov,Department Of Justice,1,1,0,1,1,0,0,0,0,1,0,0,0,Federal - Executive,Department of Justice,Office of the Chief Information Officer,Washington,DC,38.0,5
persuader-reports.gov,Department Of Labor,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,23.0,3
unemployment.gov,Department Of Labor,1,0,0,1,1,0,1,0,1,0,1,1,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,54.0,7
ui.gov,Department Of Labor,1,0,0,1,1,0,1,0,1,0,1,1,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,54.0,7
vehiclehistory.gov,Department Of Justice,1,1,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Justice,Office of Justice Programs,Potomac,MD,69.0,9
vcf.gov,Department Of Justice,1,1,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Justice,Department of Justice,Washington,DC,31.0,4
tribaljusticeandsafety.gov,Department Of Justice,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,54.0,7
osha.gov,Department Of Labor,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,15.0,2
apprenticeship.gov,Department Of Labor,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,77.0,10
msha.gov,Department Of Labor,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Arlington,VA,23.0,3
apprenticeships.gov,Department Of Labor,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,77.0,10
